,ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME,PROGRAM,LOCATION,SWIM SEC,T1 SEC,BIKE SEC,T2 SEC,RUN SEC,TOTAL TIME SEC,ATHLETE
0,Javier,Gomez Noya,ESP,26,0:18:38,0:01:02,1:00:54,0:00:36,0:31:23,1,1:52:31,Elite Men,Abu Dhabi,1118,62,3654,36,1883,6751,Javier Gomez Noya
1,Thomas,Bishop,GBR,22,0:18:36,0:01:08,1:00:52,0:00:36,0:31:36,2,1:52:45,Elite Men,Abu Dhabi,1116,68,3652,36,1896,6765,Thomas Bishop
2,Vincent,Luis,FRA,49,0:18:35,0:01:06,1:00:53,0:00:30,0:32:05,3,1:53:08,Elite Men,Abu Dhabi,1115,66,3653,30,1925,6788,Vincent Luis
3,Fernando,Alarza,ESP,2,0:19:08,0:01:06,1:01:32,0:00:33,0:31:03,4,1:53:18,Elite Men,Abu Dhabi,1148,66,3692,33,1863,6798,Fernando Alarza
4,Richard,Murray,RSA,4,0:19:32,0:00:59,1:01:13,0:00:30,0:31:14,5,1:53:25,Elite Men,Abu Dhabi,1172,59,3673,30,1874,6805,Richard Murray
5,Joao,Pereira,POR,9,0:19:05,0:01:05,1:01:35,0:00:30,0:31:25,6,1:53:38,Elite Men,Abu Dhabi,1145,65,3695,30,1885,6818,Joao Pereira
6,Gregory,Billington,USA,18,0:18:39,0:01:04,1:00:51,0:00:31,0:32:57,7,1:54:00,Elite Men,Abu Dhabi,1119,64,3651,31,1977,6840,Gregory Billington
7,Mario,Mola,ESP,1,0:19:12,0:01:06,1:01:26,0:00:29,0:31:55,8,1:54:06,Elite Men,Abu Dhabi,1152,66,3686,29,1915,6846,Mario Mola
8,Andrea,Salvisberg,SUI,12,0:18:38,0:01:07,1:00:50,0:00:30,0:33:17,9,1:54:20,Elite Men,Abu Dhabi,1118,67,3650,30,1997,6860,Andrea Salvisberg
9,Henri,Schoeman,RSA,3,0:18:28,0:01:06,1:01:02,0:00:30,0:33:31,10,1:54:35,Elite Men,Abu Dhabi,1108,66,3662,30,2011,6875,Henri Schoeman
10,Léo,Bergere,FRA,37,0:18:37,0:01:05,1:00:51,0:00:30,0:33:47,11,1:54:48,Elite Men,Abu Dhabi,1117,65,3651,30,2027,6888,Léo Bergere
11,Igor,Polyanskiy,RUS,15,0:18:29,0:01:03,1:01:03,0:00:30,0:34:01,12,1:55:05,Elite Men,Abu Dhabi,1109,63,3663,30,2041,6905,Igor Polyanskiy
12,Marcel,Walkington,AUS,43,0:18:46,0:01:06,1:01:52,0:00:32,0:33:01,13,1:55:15,Elite Men,Abu Dhabi,1126,66,3712,32,1981,6915,Marcel Walkington
13,Marc,Austin,GBR,51,0:18:33,0:01:06,1:02:08,0:00:30,0:33:41,14,1:55:56,Elite Men,Abu Dhabi,1113,66,3728,30,2021,6956,Marc Austin
14,Alois,Knabl,AUT,34,0:18:34,0:01:08,1:02:05,0:00:34,0:33:44,15,1:56:02,Elite Men,Abu Dhabi,1114,68,3725,34,2024,6962,Alois Knabl
15,Ben,Kanute,USA,31,0:18:31,0:01:04,1:00:58,0:00:30,0:35:07,16,1:56:08,Elite Men,Abu Dhabi,1111,64,3658,30,2107,6968,Ben Kanute
16,Marco,Van Der Stel,NED,29,0:18:36,0:01:05,1:00:56,0:00:33,0:35:18,17,1:56:26,Elite Men,Abu Dhabi,1116,65,3656,33,2118,6986,Marco Van Der Stel
17,Ilya,Prasolov,RUS,41,0:18:47,0:01:05,1:01:55,0:00:33,0:34:34,18,1:56:51,Elite Men,Abu Dhabi,1127,65,3715,33,2074,7011,Ilya Prasolov
18,Joao,Silva,POR,17,0:19:25,0:01:02,1:04:17,0:00:35,0:31:47,19,1:57:04,Elite Men,Abu Dhabi,1165,62,3857,35,1907,7024,Joao Silva
19,Adam,Bowden,GBR,7,0:19:42,0:01:09,1:03:51,0:00:32,0:32:03,20,1:57:15,Elite Men,Abu Dhabi,1182,69,3831,32,1923,7035,Adam Bowden
20,Crisanto,Grajales,MEX,5,0:18:48,0:01:03,1:04:53,0:00:34,0:32:12,21,1:57:27,Elite Men,Abu Dhabi,1128,63,3893,34,1932,7047,Crisanto Grajales
21,Dmitry,Polyanskiy,RUS,11,0:18:31,0:01:03,1:05:12,0:00:31,0:32:22,22,1:57:37,Elite Men,Abu Dhabi,1111,63,3912,31,1942,7057,Dmitry Polyanskiy
22,Lukas,Hollaus,AUT,36,0:19:35,0:01:05,1:04:01,0:00:28,0:32:32,23,1:57:39,Elite Men,Abu Dhabi,1175,65,3841,28,1952,7059,Lukas Hollaus
23,Lukas,Pertl,AUT,40,0:19:46,0:01:04,1:03:53,0:00:27,0:32:34,24,1:57:41,Elite Men,Abu Dhabi,1186,64,3833,27,1954,7061,Lukas Pertl
24,Sylvain,Fridelance,SUI,46,0:19:17,0:01:05,1:01:25,0:00:32,0:36:10,25,1:58:27,Elite Men,Abu Dhabi,1157,65,3685,32,2170,7107,Sylvain Fridelance
25,Davide,Uccellari,ITA,25,0:19:16,0:01:12,1:04:17,0:00:33,0:33:33,26,1:58:50,Elite Men,Abu Dhabi,1156,72,3857,33,2013,7130,Davide Uccellari
26,Miguel,Arraiolos,POR,33,0:19:40,0:01:08,1:03:56,0:00:37,0:33:57,27,1:59:16,Elite Men,Abu Dhabi,1180,68,3836,37,2037,7156,Miguel Arraiolos
27,Jan,Celustka,CZE,21,0:18:39,0:01:05,1:04:59,0:00:33,0:34:26,28,1:59:41,Elite Men,Abu Dhabi,1119,65,3899,33,2066,7181,Jan Celustka
28,Jorik,Van Egdom,NED,47,0:20:14,0:01:05,1:03:24,0:00:32,0:34:46,29,1:59:59,Elite Men,Abu Dhabi,1214,65,3804,32,2086,7199,Jorik Van Egdom
29,Tamás,Tóth,HUN,19,0:19:21,0:01:05,1:04:23,0:00:34,0:34:44,30,2:00:04,Elite Men,Abu Dhabi,1161,65,3863,34,2084,7204,Tamás Tóth
30,Stefan,Zachäus,LUX,23,0:19:21,0:01:03,1:01:23,0:00:30,0:38:03,31,2:00:18,Elite Men,Abu Dhabi,1161,63,3683,30,2283,7218,Stefan Zachäus
31,Thomas,Springer,AUT,24,0:19:51,0:01:04,1:03:55,0:00:35,0:35:13,32,2:00:36,Elite Men,Abu Dhabi,1191,64,3835,35,2113,7236,Thomas Springer
32,David,Luis,POR,55,0:18:36,0:01:03,1:05:08,0:00:30,0:35:44,33,2:00:59,Elite Men,Abu Dhabi,1116,63,3908,30,2144,7259,David Luis
33,Yuichi,Hosoda,JPN,44,0:19:38,0:01:07,1:04:03,0:00:36,0:36:13,34,2:01:35,Elite Men,Abu Dhabi,1178,67,3843,36,2173,7295,Yuichi Hosoda
34,Aurelien,Raphael,FRA,10,0:18:27,0:01:08,1:05:12,0:00:36,0:38:15,35,2:03:35,Elite Men,Abu Dhabi,1107,68,3912,36,2295,7415,Aurelien Raphael
35,Ivan,Ivanov,UKR,32,0:19:19,0:01:07,1:04:20,0:00:36,0:39:10,36,2:04:29,Elite Men,Abu Dhabi,1159,67,3860,36,2350,7469,Ivan Ivanov
36,Henrik,Goesch,FIN,45,0:19:23,0:01:09,1:04:16,0:00:32,0:00:00,DNF,DNF,Elite Men,Abu Dhabi,1163,69,3856,32,0,0,Henrik Goesch
37,Adrien,Briffod,SUI,30,0:19:09,0:01:06,1:01:29,0:00:29,0:00:00,DNF,DNF,Elite Men,Abu Dhabi,1149,66,3689,29,0,0,Adrien Briffod
38,Pierre,Le Corre,FRA,6,0:18:31,0:01:06,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Abu Dhabi,1111,66,0,0,0,0,Pierre Le Corre
39,Grant,Sheldon,GBR,27,0:19:46,0:01:07,0:00:00,0:00:00,0:00:00,LAP,LAP,Elite Men,Abu Dhabi,1186,67,0,0,0,0,Grant Sheldon
40,Simon,De Cuyper,BEL,42,0:20:21,0:01:02,0:00:00,0:00:00,0:00:00,LAP,LAP,Elite Men,Abu Dhabi,1221,62,0,0,0,0,Simon De Cuyper
